disease_en	disease_jp
sickle cell disease
Lewis lung carcinoma
pancreatic carcinoma
colon carcinoma
papillary thyroid carcinoma
abdominal angina	腹部狭心症
abdominal aortic aneurysm	腹部大動脈瘤
abdominal bleeding	腹部出血(abdominal hemorrhage)
abdominal epilepsy	腹部癲癇
abdominal face	腹膜炎顔貌
abdominal fullness	腹部膨満
abdominal hemorrhage	腹部出血(abdominal bleeding)
abdominal pain	腹痛(abdominalgia)
abdominal trauma	腹部外傷
abdominal tumor	腹部腫瘍
abdominalgia	腹痛(abdominal pain)
aberrant pancreas	迷入膵
aberrant salivary gland	迷入唾液腺
ablatio corporis vitrei	硝子体剥離
ablepharia	無眼瞼(症)
ablepsia	視覚消失(症)
abortion	流産
cancer
habitual abortion	習慣性流産
inevitable abortion	不可避流産
spontaneous abortion	自然流産
threatened abortion	切迫流産
abortive infection	不発感染∥不全感染∥頓挫感染
abrachia	無腕(症)
abscess	膿瘍
bursal abscess	滑液包膿瘍
cold abscess	冷膿瘍，寒性膿瘍
epidural abscess	硬膜外膿瘍
lung abscess	肺膿瘍
mammary abscess	乳房膿瘍
peritonsillar abscess	扁桃周囲膿瘍∥扁桃膿瘍(quinsy)
residual abscess	遺残膿瘍
subdural abscess	硬膜下膿瘍
subhepatic abscess	肝下膿瘍
abstinence symptom	禁断症状
abstinence syndrome	禁断症候群
acantholysis	棘融解
acanthoma	棘細胞腫
acanthosis	棘細胞症
acanthosis nigricans	黒色表皮腫(略 AN)
acanthosis nigricans maligna	悪性黒色表皮腫
acatamathesia	感覚性忘失
acheilia	無口唇[症]∥口唇欠損(症)
acheiropodia	無手足(症)(acheiropody)
acheiropody	無手足(症)(acheiropodia)
achillobursitis	アキレス腱滑液包炎
achillodynia	アキレス腱痛
acholia	無胆汁(症)
acholuria	無胆汁尿(症)
achondroplasia	軟骨無形成(症)
acidophilic adenoma	好酸性腺腫
acne	面皰∥アクネ/にきび/
acne rosacea	酒さ性痊瘡∥酒さ性アクネ
acoustic neuroma	聴神経腫
acrocephalosyndactyly	尖頭合指(症)
acromegalia	先端肥大[症]∥肢端肥大(症)(acromegaly)
acromegaly	先端肥大[症]∥肢端肥大(症)(acromegalia)
acromyotonia	四肢強直(症)
actinic cheilitis	日射性口唇炎
actinic conjunctivitis	照射性結膜炎(ultraviolet keratoconjunctivitis)
actinic keratitis	紫外線角膜炎
actinic keratosis	日光角化症(solar keratosis)
actinic retinitis	紫外線網膜炎
actinomycoma	放線菌腫
actinomycosis	放線菌症
actinoneuritis	放射線神経症
active hepatitis	活動性肝炎
active infectious tuberculosis	活動性感染性結核
acute anteroseptal myocardial infarction	急性前中隔心筋梗塞
acute aortic dissection	急性大動脈解離(略 AD)
acute apical periodontitis	急性根尖性歯周炎<[歯]>
acute appendicitis	急性虫垂炎
acute bacterial endocarditis	急性細菌性心内膜炎(略 ABE)
acute bronchitis	急性気管支炎
acute cholecystitis	急性胆嚢炎
acute chorditis	急性声帯炎
acute encephalopathy	急性脳症
acute eosinophilic pneumonia	急性好酸球性肺炎(略 AEP)
acute exanthema	急性発疹
acute gastritis	急性胃炎
acute gastroenteritis	急性胃腸炎
acute hepatitis	急性肝炎
acute inflammation	急性炎症
acute interstitial nephritis	急性間質性腎炎(略 AIN)
acute laryngitis	急性喉頭炎
acute mediastinitis	急性縦隔炎
acute myelogenous leukemia	急性骨髄性白血病(略 AML)
acute myocardial infarction	急性心筋梗塞
acute myocardial necrosis	急性心筋壊死
acute myringitis	急性鼓膜炎
acute nephritis	急性腎炎
acute osteomyelitis	急性骨髄炎
acute pancreatitis	急性膵炎
acute paranasal sinusitis	急性副鼻腔炎
acute pericarditis	急性心膜炎
acute renal failure	急性腎不全(acute renal insufficiency)
acute renal insufficiency	急性腎不全(acute renal failure)
acute respiratory distress syndrome 	急性呼吸窮迫症候群
acute sinusitis	急性洞炎
acute withdrawal syndrome	急性禁断症状
adamantinoma	エナメル上皮腫〈ameloblastomaの旧称〉
pituitary adamantinoma	下垂体エナメル上皮腫
addison's disease	アジソン病
adenitis	腺炎
adenocarcinoma	腺癌
adenoid cystic carcinoma	腺様嚢胞癌
adenoid squamous cell carcinoma	腺様扁平上皮癌
adenoma	腺腫
pituitary adenoma	下垂体腺腫
adenomatoid odontogenic tumor	腺様歯原性腫瘍
adenomatosis	腺腫症
adenomyoepithelioma	腺筋上皮腫
adenomyoma	腺筋腫
adenomyosis	腺筋症
adenomyosis uteri	子宮腺筋症
adenosarcoma	腺肉腫
adiposa dolorosa	疼痛性脂肪[沈着]症[L]
adipositas cordis	心脂肪過多[L](fatty heart//fatty infiltration of heart//steatosis cordis[L])
adnexitis	子宮付属器炎∥付属器炎
adrenalitis	副腎炎
adrenalopathy	副腎疾患
adrenomegaly	副腎肥大
adult T cell leukemia	成人性Ｔ細胞白血病
advanced cancer	進行癌
aerocele	気瘤(pneumatocele)
aerocolpos	膣気腫
aerodermectasis	皮下気腫(surgical emphysema)
aerodontalgia	気圧歯痛
agalactia	無乳(症)
agammaglobulinemia	無ガンマグロブリン血(症)
aganglionosis	神経節細胞欠損(症)
agenesis	無発生∥無発育
ureteral agenesis	尿管無形成
aggressive fibromatosis	侵襲性線維腫症
aglossia	無舌(症)
aglossostoma	無舌体
agnathia	無顎(症)
agnogenic myeloid metaplasia	原因不明性骨髄様化生
agnosia	失認症
agonadism	無性腺症
agranulocytosis	無顆粒球症
agrypnia	不眠(症)
akinesia	無動[症]∥運動不能
albuminuria	アルブミン尿[症]∥蛋白尿(症)
postrenal albuminuria	腎後性蛋白尿(症)
alcoholic fatty liver	アルコール性脂肪肝
alcoholic hepatitis	アルコール性肝炎
alcoholic polyneuritis	アルコール性多発性神経炎
alexia	失読症∥読字障害
algesia	痛覚過敏
algomenorrhea	月経痛
alimentary anemia	栄養性貧血(nutritional anemia)
aliquorrhea	髄液欠乏(症)
alkalosis	アルカリ血症∥アルカローシス
allergic conjunctivitis	アレルギー性結膜炎
allergic contact dermatitis	アレルギー性接触性皮膚炎
allergic diarrhea	アレルギー性下痢
allergic dermatitis	アレルギー性皮膚炎
allergic rhinitis	アレルギー性鼻炎
allergy	過敏症∥アレルギー
latex allergy	ラテックス過敏症
alopecia	脱毛症
alopecia areata	円形脱毛症(alopecia circumscripta)
alopecia circumscripta	円形脱毛症(alopecia areata)
alopecia hereditaria	遺伝性脱毛症
alveolar adenocarcinoma	肺胞性腺癌
alveolar cell carcinoma	肺胞細胞癌(略 ACC)
alveolar proteinosis	肺胞蛋白症
alveolar soft part sarcoma	胞巣状軟部肉腫∥蜂巣状軟部肉腫
alveolitis	肺胞炎
extrinsic allergic alveolitis	外因性過敏性肺胞炎(略 EAA)
alzheimer's disease	アルツハイマー病
amblyaphia	触覚鈍麻
amblyopia	弱視
amebiasis	アメーバ症
amebic colitis	アメーバ性大腸炎
amebic diarrhea	アメーバ性下痢
